"commonname","speciesname"
"Pygmy Lanternshark","Etmopterus fusus"
"False Pygmy Shark","Etmopterus pseudosqualiolus"
"Winghead Shark","Eusphyra blochii"
"Australian Sawtail Shark","Figaro boardmani"
"Slender Sawtail Shark","Galeus gracilis"
"Sailback Houndshark","Gogolia filewoodi"
"Slender Smoothhound","Gollum attenuatus"
"Sickelfin Weasel Shark","Hemigaleus microstoma"
"Epaulette Shark","Hemiscyllium ocellatum"
"Hooded Carpet Shark","Hemiscyllium strahani"
"Speckled Carpetshark","Hemiscyllium trispeculare"
"Darksnout Hound Shark","Hemitriakis abdita"
"Sicklefin Hound Shark","Hemitriakis falcata"
"Sharpnose Sevengill Shark","Heptranchias perlo"
"Crested Hornshark","Heterodontus galeatus"
"Barred Bullhead Shark","Heterodontus zebra"
"Pale Ghostshark","Hydrolagus bemisi"
"Dark Ghostshark","Hydrolagus novaezealandiae"
"Coffin Ray","Hypnos monopterygius"
"Longnose Hound Shark","Iago garricki"
"Cookie-cutter Shark","Isistius brasiliensis"
"Sliteye Shark","Loxodon macrorhinus"
"Longhorned Pygmy Devil Ray","Mobula eregoodoo"
"Tawny Nurse Shark","Nebrius ferrugineus"
"Sharptooth Lemon Shark","Negaprion acutidens"
"Spotted Wobbegong","Orectolobus maculatus"
"Ornate Wobbegong","Orectolobus ornatus"
"Northern Wobbegong","Orectolobus wardi"
"Prickly Dogfish","Oxynotus bruniensis"
"Collared Carpetshark","Parascyllium collare"
"Rusty Carpetshark","Parascyllium ferrugineum"
"Ginger Carpetshark","Parascyllium sparsimaculatum"
"Varied Carpetshark","Parascyllium variolatum"
"McMillan's Catshark","Parmaturus macmillani"
"Southern Sawshark","Pristiophorus nudipinnis"
"Bowmouth Guitarfish","Rhina ancylostoma"
"Milk Shark","Rhizoprionodon acutus"
"Grey Sharpnose Shark","Rhizoprionodon oligolinx"
"Australian Sharpnose Shark","Rhizoprionodon taylori"
"Bottlenose Wedgefish","Rhynchobatus australiae"
"Smoothnose Wedgefish","Rhynchobatus laevis"
"Whitetail Dogfish","Scymnodalatias albicauda"
"Sherwood's Dogfish","Scymnodalatias sherwoodi"
"Southern Sleeper Shark","Somniosus antarcticus"
"Smalleye Pygmy Shark","Squaliolus aliae"
"Blacktailed Spurdog","Squalus melanurus"
"Cyrano Spurdog","Squalus rancureli"
"Australian Angel Shark","Squatina australis"
"Ornate Angel Shark","Squatina tergocellata"
"Cobbler Wobbegong","Sutorectus tentaculatus"
"Eastern Fiddler Ray","Trygonorrhina fasciata"
"New Caledonia Catshark","Aulohalaelurus kanakorum"
"Leafscale Gulper Shark","Centrophorus squamosus"
"Grey Carpetshark","Chiloscyllium punctatum"
"Tasselled Wobbegong","Eucrossorhinus dasypogon"
"Snaggletooth Shark","Hemipristis elongata"
"Papuan Epaulette Shark","Hemiscyllium hallstromi"
"Smalltooth Sand Tiger","Odontaspis ferox"
"Zebra Shark","Stegostoma tigrinum"
"Fleshynose Catshark","Apristurus melanoasper"
"Roughskin Catshark","Apristurus ampliceps"
"Bighead Catshark","Apristurus bucephalus"
"Pinocchio Catshark","Apristurus australis"
"Whitefin Swellshark","Cephaloscyllium albipinnum"
"Saddled Swellshark","Cephaloscyllium variegatum"
"Narrowbar Swellshark","Cephaloscyllium zebrum"
"Speckled Swellshark","Cephaloscyllium speccum"
"Northern Sawtail Shark","Figaro striatus"
"Northern River Shark","Glyphis garricki"
"Rusty Catshark","Halaelurus sellus"
"Western Spotted Gummy Shark","Mustelus stevensi"
"Western Wobbegong","Orectolobus hutchinsi"
"Short-tail Catshark","Parmaturus bigus"
"Tropical Sawshark","Pristiophorus delicatus"
"Goldeneye Shovelnose Ray","Rhinobatos sainsburyi"
"Bartail Spurdog","Squalus notocaudatus"
"Eastern Highfin Spurdog","Squalus albifrons"
"Fatspine Spurdog","Squalus crassispinus"
"Western Longnose Spurdog","Squalus nasutus"
"Eastern Longnose Spurdog","Squalus grahami"
"Western Angel Shark","Squatina pseudocellata"
"Eastern Angel Shark","Squatina albipunctata"
"Kapala Stingaree","Urolophus kapalensis"
"Little Gulper Shark","Centrophorus uyato"
"Epaulette Shark","Hemiscyllium ocellatum"
"Sharptooth Lemon Shark","Negaprion acutidens"
"Endeavour Dogfish","Centrophorus moluccensis"
"Spotted Ragged-tooth Shark","Carcharias taurus"
"Spotted Ragged-tooth Shark","Carcharias taurus"
"Spiny Dogfish","Squalus acanthias"
"Spiny Dogfish","Squalus acanthias"
"Dawson's Catshark","Bythaelurus dawsoni"
"Sombre Catshark","Bythaelurus incanus"
"Big Skate","Beringraja binoculata"
"Marbled Whipray","Fluvitrygon oxyrhynchus"
